Base ;;;Extremo;;;motores;;;;;;;;;;;;;;;
Base X;Base Y;Base Z;Extremo X;Extremo Y;Extremo Z;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,000526928;0,00029409;0,000668684;-0,036422479;0,001722831;0,246922373;-800;800;0;0;800;-800;0;0;0;0;800;-800;800;-800;0;0
0,000142744;0,000107241;0,000138001;-0,003851108;0,015103036;0,246579548;-800;800;0;0;800;-800;0;0;0;0;800;-800;-800;800;0;0
0,000535915;-9,60647E-05;0,000480254;-0,0295463;0,016872883;0,243352001;-800;800;0;0;800;-800;0;0;0;0;800;-800;0;0;800;-800
0,000155446;2,32893E-05;0,000138538;-0,014085902;0,00089989;0,247680477;-800;800;0;0;800;-800;0;0;0;0;800;-800;0;0;-800;800
2,89821E-05;9,92147E-05;0,000152921;-0,019329022;-0,012381052;0,247650102;-800;800;0;0;800;-800;0;0;0;0;-800;800;800;-800;0;0
-0,000481223;0,000248512;-8,83734E-05;0,016886137;0,011018149;0,243627242;-800;800;0;0;800;-800;0;0;0;0;-800;800;-800;800;0;0
-8,4239E-06;0,000112709;0,000109372;-0,008884531;0,009100152;0,246180481;-800;800;0;0;800;-800;0;0;0;0;-800;800;0;0;800;-800
-0,000124044;0,000151525;6,19172E-05;0,000877609;-0,005748988;0,246647951;-800;800;0;0;800;-800;0;0;0;0;-800;800;0;0;-800;800
0,00048129;-4,71464E-05;0,000464065;-0,029104224;0,001308224;0,247454206;-800;800;0;0;800;-800;0;0;800;-800;0;0;800;-800;0;0
0,000150609;0,000107933;0,000134906;0,001485841;0,024259523;0,243504601;-800;800;0;0;800;-800;0;0;800;-800;0;0;-800;800;0;0
0,000494052;-9,03476E-05;0,000443278;-0,020988215;0,019772624;0,243440014;-800;800;0;0;800;-800;0;0;800;-800;0;0;0;0;800;-800
0,000142686;3,36319E-05;0,000130316;-0,008219825;0,006353485;0,246659088;-800;800;0;0;800;-800;0;0;800;-800;0;0;0;0;-800;800
2,31955E-05;0,000111143;0,000117562;-0,025828347;0,003151057;0,248153132;-800;800;0;0;800;-800;0;0;-800;800;0;0;800;-800;0;0
-0,000135571;0,000271491;5,56735E-05;0,011283479;0,014851709;0,244177064;-800;800;0;0;800;-800;0;0;-800;800;0;0;-800;800;0;0
7,57837E-05;3,37329E-06;0,000395991;-0,015488821;0,016142804;0,243553348;-800;800;0;0;800;-800;0;0;-800;800;0;0;0;0;800;-800
6,86391E-06;0,000113501;0,000108806;-0,003488529;0,001517465;0,246821557;-800;800;0;0;800;-800;0;0;-800;800;0;0;0;0;-800;800
-0,036114178;0,002566806;0,247621737;0,000872398;0,000107222;0,000688267;-800;800;0;0;800;-800;0;0;0;0;800;-800;800;-800;0;0
0,000331866;2,47382E-06;0,000156339;-0,003673113;0,015714841;0,246442106;-800;800;0;0;800;-800;0;0;0;0;800;-800;-800;800;0;0
-0,030191867;0,017379271;0,243531572;0,000999237;0,000116895;0,00068493;-800;800;0;0;800;-800;0;0;0;0;800;-800;0;0;800;-800
0,000342099;-8,09603E-05;0,000156216;-0,014276861;0,001443147;0,247683608;-800;800;0;0;800;-800;0;0;0;0;800;-800;0;0;-800;800
-1,61115E-06;0,00011596;0,00010569;-0,019114063;-0,011729213;0,247672065;-800;800;0;0;800;-800;0;0;0;0;-800;800;800;-800;0;0
-0,000494933;0,000260561;-0,000112774;0,017029072;0,011870494;0,243489993;-800;800;0;0;800;-800;0;0;0;0;-800;800;-800;800;0;0
0,000125885;2,94899E-05;0,000134337;-0,009592245;0,009887267;0,245918587;-800;800;0;0;800;-800;0;0;0;0;-800;800;0;0;800;-800
-0,000143109;0,000144406;5,89642E-05;0,001207678;-0,005019072;0,246431317;-800;800;0;0;800;-800;0;0;0;0;-800;800;0;0;-800;800
0,000705249;0,000342108;0,000667591;-0,032870204;0,012950932;0,246685106;-800;800;0;0;0;0;800;-800;800;-800;0;0;800;-800;0;0
0,000649806;0,000186123;0,000403259;0,001272835;0,034624604;0,242199039;-800;800;0;0;0;0;800;-800;800;-800;0;0;-800;800;0;0
0,000925379;0,000173003;0,000728575;-0,022715511;0,030556321;0,242718292;-800;800;0;0;0;0;800;-800;800;-800;0;0;0;0;800;-800
8,06326E-06;4,61494E-05;0,000379506;-0,011983333;0,017711014;0,246706877;-800;800;0;0;0;0;800;-800;800;-800;0;0;0;0;-800;800
0,000329683;5,03215E-05;0,000434313;-0,028676105;0,017145441;0,246976116;-800;800;0;0;0;0;800;-800;-800;800;0;0;800;-800;0;0
0,000678267;0,000223487;0,000424293;0,010595599;0,027262129;0,243439047;-800;800;0;0;0;0;800;-800;-800;800;0;0;-800;800;0;0
0,000809548;0,000227516;0,00071674;-0,015898996;0,027320645;0,243865499;-800;800;0;0;0;0;800;-800;-800;800;0;0;0;0;800;-800
-1,7374E-05;0,000150327;0,000113401;-0,003877727;0,013481606;0,248314896;-800;800;0;0;0;0;800;-800;-800;800;0;0;0;0;-800;800
0,000870639;0,000230425;0,000707996;-0,041205696;0,015719236;0,245762781;-800;800;0;0;0;0;800;-800;0;0;800;-800;800;-800;0;0
0,000631193;0,000303411;0,000389198;-0,003787576;0,028279808;0,244124339;-800;800;0;0;0;0;800;-800;0;0;800;-800;-800;800;0;0
0,000908888;0,000189523;0,000708649;-0,03392752;0,030849506;0,240939834;-800;800;0;0;0;0;800;-800;0;0;800;-800;0;0;800;-800
0,000187171;6,71387E-05;0,000404349;-0,019236505;0,014510036;0,246490415;-800;800;0;0;0;0;800;-800;0;0;800;-800;0;0;-800;800
8,37858E-05;8,24586E-05;0,000122641;-0,018854031;-0,000513974;0,248956493;-800;800;0;0;0;0;800;-800;0;0;-800;800;800;-800;0;0
0,017644238;0,024250301;0,242935666;0,000634642;0,000129376;0,000428218;-800;800;0;0;0;0;800;-800;0;0;-800;800;-800;800;0;0
9,4796E-05;0,000149816;0,000119651;-0,00413821;0,020245015;0,245280658;-800;800;0;0;0;0;800;-800;0;0;-800;800;0;0;800;-800
-3,7501E-05;0,000128897;5,60034E-05;0,002890466;0,007233037;0,248736461;-800;800;0;0;0;0;800;-800;0;0;-800;800;0;0;-800;800
-0,032280723;0,014036365;0,246735623;0,000787335;0,000260514;0,000671653;-800;800;0;0;0;0;800;-800;800;-800;0;0;800;-800;0;0
2,99644E-05;0,035007317;0,241944707;0,000622333;0,000106971;0,00040684;-800;800;0;0;0;0;800;-800;800;-800;0;0;-800;800;0;0
-0,022883952;0,031756977;0,243850175;0,001018471;6,50199E-05;0,000731681;-800;800;0;0;0;0;800;-800;800;-800;0;0;0;0;800;-800
0,000241234;3,04971E-05;0,00042506;-0,012761317;0,019113181;0,24538999;-800;800;0;0;0;0;800;-800;800;-800;0;0;0;0;-800;800
0,000502223;-3,80425E-05;0,000448776;-0,028964035;0,017811592;0,246814513;-800;800;0;0;0;0;800;-800;-800;800;0;0;800;-800;0;0
0,010735889;0,027532897;0,243375393;0,000621905;0,000118764;0,000414974;-800;800;0;0;0;0;800;-800;-800;800;0;0;-800;800;0;0
-0,016143792;0,028176335;0,243717604;0,000886601;0,00013165;0,000708058;-800;800;0;0;0;0;800;-800;-800;800;0;0;0;0;800;-800
0,000106802;9,10674E-05;0,000136176;-0,004524116;0,014409117;0,248194901;-800;800;0;0;0;0;800;-800;-800;800;0;0;0;0;-800;800
-0,040912841;0,016093239;0,244931491;0,000945038;0,000139877;0,00069445;-800;800;0;0;0;0;800;-800;0;0;800;-800;800;-800;0;0
-0,00347325;0,02923413;0,244901042;0,000620138;0,000130583;0,000418266;-800;800;0;0;0;0;800;-800;0;0;800;-800;-800;800;0;0
-0,033268515;0,030735734;0,241462775;0,001008252;8,34041E-05;0,000728597;-800;800;0;0;0;0;800;-800;0;0;800;-800;0;0;800;-800
0,000361137;6,44651E-06;0,000439239;-0,019551942;0,014917698;0,246810307;-800;800;0;0;0;0;800;-800;0;0;800;-800;0;0;-800;800
